Cards,1 plyrs,2 plyrs,3 plyrs,4 plyrs,5 plyrs,6 plyrs,7 plyrs,8 plyrs,9 plyrs,10 plyrs
AAo,100.00%,85.30%,73.40%,63.90%,55.90%,49.20%,43.60%,38.80%,34.70%,31.10%
AKs,100.00%,67.00%,50.70%,41.40%,35.40%,31.10%,27.70%,25.00%,22.70%,20.70%
AKo,100.00%,65.40%,48.20%,38.60%,32.40%,27.90%,24.40%,21.60%,19.20%,17.20%
AQs,100.00%,66.10%,49.40%,39.90%,33.70%,29.40%,26.00%,23.30%,21.10%,19.30%
AQo,100.00%,64.50%,46.80%,36.90%,30.40%,25.90%,22.50%,19.70%,17.50%,15.50%
AJs,100.00%,65.40%,48.20%,38.50%,32.20%,27.80%,24.50%,22.00%,19.90%,18.10%
AJo,100.00%,63.60%,45.60%,35.40%,28.90%,24.40%,21.00%,18.30%,16.10%,14.30%
ATs,100.00%,64.70%,47.10%,37.20%,31.00%,26.70%,23.50%,21.00%,18.90%,17.30%
ATo,100.00%,62.90%,44.40%,34.10%,27.60%,23.10%,19.80%,17.20%,15.10%,13.40%
A9s,100.00%,63.00%,44.80%,34.60%,28.40%,24.20%,21.10%,18.80%,16.90%,15.40%
A9o,100.00%,60.90%,41.80%,31.20%,24.70%,20.30%,17.10%,14.70%,12.80%,11.20%
A8s,100.00%,62.10%,43.70%,33.60%,27.40%,23.30%,20.30%,18.00%,16.20%,14.80%
A8o,100.00%,60.10%,40.80%,30.10%,23.70%,19.40%,16.20%,13.90%,12.00%,10.60%
A7s,100.00%,61.10%,42.60%,32.60%,26.50%,22.50%,19.60%,17.40%,15.70%,14.30%
A7o,100.00%,59.10%,39.40%,28.90%,22.60%,18.40%,15.40%,13.20%,11.40%,10.10%
A6s,100.00%,60.00%,41.30%,31.40%,25.60%,21.70%,19.00%,16.90%,15.30%,14.00%
A6o,100.00%,57.80%,38.00%,27.60%,21.50%,17.50%,14.70%,12.60%,10.90%,9.60%
A5s,100.00%,59.90%,41.40%,31.80%,26.00%,22.20%,19.60%,17.50%,15.90%,14.50%
A5o,100.00%,57.70%,38.20%,27.90%,22.00%,18.00%,15.20%,13.10%,11.50%,10.10%
A4s,100.00%,58.90%,40.40%,30.90%,25.30%,21.60%,19.00%,17.00%,15.50%,14.20%
